st lat,st lon,file,row num,k,"sping, in",type,lat,lon
0,0,1,0,0,0,alley,38.942210410000,-92.319652140000
0.000011668772000,0.000000000000000,1,1,30,8.,plant,38.942222078772,-92.319652140000
0.000066580638000,0.000000000000000,1,0,0,0,alley,38.942276990638,-92.319652140000
0.000078249410000,0.000000000000000,1,2,40,6.,plant,38.942288659410,-92.319652140000
0.000133161280000,0.000000000000000,1,0,0,0,alley,38.942343571280,-92.319652140000
0.000144830050000,0.000000000000000,1,3,20,12,plant,38.942355240050,-92.319652140000
0.000199741920000,0.000000000000000,1,0,0,0,alley,38.942410151920,-92.319652140000
0.000211410690000,0.000000000000000,1,4,20,12,plant,38.942421820690,-92.319652140000
0.000266322560000,0.000000000000000,1,0,0,0,alley,38.942476732560,-92.319652140000
0.000266322560000,-0.000010547151000,2,0,0,0,alley,38.942476732560,-92.319662687151
0.000211410690000,-0.000010547151000,2,5,40,6.,plant,38.942421820690,-92.319662687151
0.000199741920000,-0.000010547151000,2,0,0,0,alley,38.942410151920,-92.319662687151
0.000144830050000,-0.000010547151000,2,6,30,8.,plant,38.942355240050,-92.319662687151
0.000133161280000,-0.000010547151000,2,0,0,0,alley,38.942343571280,-92.319662687151
0.000078249414000,-0.000010547151000,2,7,30,8.,plant,38.942288659414,-92.319662687151
0.000066580642000,-0.000010547151000,2,0,0,0,alley,38.942276990642,-92.319662687151
0.000011668776000,-0.000010547151000,2,8,20,12,plant,38.942222078776,-92.319662687151
0.000000000004379,-0.000010547151000,2,0,0,0,alley,38.942210410004,-92.319662687151
0.000000000004379,-0.000021094302000,3,0,0,0,alley,38.942210410004,-92.319673234302
0.000011668776000,-0.000021094302000,3,9,40,6.,plant,38.942222078776,-92.319673234302
0.000066580642000,-0.000021094302000,3,0,0,0,alley,38.942276990642,-92.319673234302
0.000078249414000,-0.000021094302000,2,10,20,12,plant,38.942288659414,-92.319673234302
0.000133161280000,-0.000021094302000,3,0,0,0,alley,38.942343571280,-92.319673234302
0.000144830050000,-0.000021094302000,3,11,30,8.,plant,38.942355240050,-92.319673234302
0.000199741920000,-0.000021094302000,3,0,0,0,alley,38.942410151920,-92.319673234302
0.000211410690000,-0.000021094302000,3,12,40,6.,plant,38.942421820690,-92.319673234302
0.000266322560000,-0.000021094302000,3,0,0,0,alley,38.942476732560,-92.319673234302
